snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
150611,150612,334351,334730,167991,False
150612,150610,334352,334350,167991,False
150610,150609,334350,334349,167991,False
150558,150543,334231,334200,15271,False
150543,150516,334200,334162,15271,False
150715,150713,334519,334516,24304,False
150715,150713,334519,334528,24304,False
150715,150713,334519,334533,24304,True/True/True/False
151054,151053,335114,335113,41055,False
151054,151053,335114,335139,41055,False
150555,150534,334225,334186,15697,False
150516,150511,334162,334148,15271,False
87406,85784,175881,151890,15213,False
151141,150510,335328,335327,8256,False
151053,151050,335113,335111,41055,False
151053,151050,335113,335133,41055,True/True/True/False
151201,151199,335553,335534,98214,False
150510,150506,334149,334140,15271,False
150510,150506,334149,334159,15271,False
150742,150740,334575,334572,245891,False
150742,150740,334575,334577,245891,False
150742,150740,334575,335131,245891,False
151199,151196,335534,335530,98214,False
150740,150741,334572,334573,245891,False
150740,150741,334572,335150,245891,False
151196,151181,335530,335470,98214,False
151181,151180,335470,335469,98214,False
154150,86957,348925,169422,155848,False
154150,86957,348925,172689,155848,False
154150,86957,348925,338017,155848,False
154150,86957,348925,351857,155848,False
154150,86957,348925,352072,155848,False
154154,34475,348937,46814,155847,False
154154,34475,348937,266555,155847,False
151180,151195,335469,335528,98214,False
151677,7648,337194,9345,30274,False
153180,152051,345448,340496,36295,True/True/True/True
151195,151179,335528,335468,98214,False
152051,95072,340496,199478,36295,False
85588,28338,190912,36686,23760,False
85633,84783,150014,131456,26864,False
151179,151178,335468,335467,98214,False
143113,174855,312635,403392,602568,False
151503,93023,336483,193494,26973,False
154950,117697,352061,260945,110706,False
151094,151092,335214,335211,56285,False
151178,151177,335467,335466,98214,False
151178,151177,335467,335508,98214,False
154124,84828,348833,133187,53059,False
154126,84869,348839,134955,17013,False
150786,150755,334630,334590,24765,False
151069,151058,335138,335120,4112,False
151069,151058,335138,335128,4112,False
151069,151058,335138,335155,4112,False
151145,151144,335353,335347,67822,False
150755,150756,334590,334589,24765,False
151058,151057,335120,335119,4112,False
151144,151137,335347,335322,67822,False
150756,150794,334589,334641,24765,False
151137,151112,335322,335251,67822,False
150753,150804,334587,334656,24764,False
150798,150772,334650,334609,2541,False
150688,150660,334481,334431,2128,False
150688,150660,334481,334467,2128,False
150688,150660,334481,334477,2128,False
150804,150754,334656,334588,24764,False
151112,151111,335251,335250,67822,False
151112,151111,335251,335324,67822,False
151055,150658,335116,335118,4112,False
151111,151110,335250,335246,67822,False
132778,5569,292040,48856,245267,False
