category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,O3 U1,84780,65,mp-233,7836,164,mp-8134,0.0828,1.17,0.791,"(0.207,0.293)",different
diff. SGs,N1 S1,15714,14,mp-542738,43893,60,mp-555136,0.00187,0.0299,0.32,"(0.104,0.152)",similar
diff. SGs,Cu1 O2,1066,63,mp-601195,154129,69,mp-704690,0.000373,0.23,5.53,"(0.108,0.109)",different
diff. SGs,O2 Si1,14340,96,mp-7029,1875,92,mp-6945,0.000186,0.285,0.00382,"(0.124,0.15)",different
diff. SGs,Ba1 Mn1 O3,21678,185,mp-19267,11354,194,mp-19156,0.0077,0.143,0.239,"(0.0373,0.0584)",different
diff. SGs,Cd1 Te1,1077,186,mp-12779,86988,36,mp-685146,0.00113,0.0036,0.0754,"(0.119,0.126)",similar
same SGs,O2 Si1,24631,60,mp-559741,4040,60,mp-10948,0.000197,0.0576,0.00455,,
diff. SGs,O2 Te1,10710,96,mp-2739,9176,19,mp-561224,0.00163,0.181,0.0417,"(0.0758,0.0896)",different
diff. SGs,O2 Te1,10710,96,mp-2739,826,92,mp-557,2.25e-05,0,0.0153,"(0.0127,0.0153)",similar
diff. SGs,O2 Te1,9176,19,mp-561224,826,92,mp-557,0.00161,0.181,0.0571,"(0.0756,0.0885)",different
diff. SGs,Mn2 Ni1 O4,150457,141,mp-622693,17675,227,mp-32011,0.125,0,0.247,"(0.0264,0.0421)",different
diff. SGs,La1 Mn1 O3,873,15,mp-19157,786,167,mp-19168,0.00153,0.0135,0.0346,"(0.0543,0.0755)",similar
diff. SGs,Cu1 Ge1 O3,86705,64,mp-561216,11359,51,mp-21344,0.00377,0.111,0.121,"(0.0412,0.066)",different
diff. SGs,Te1,84733,51,mp-105,84711,221,mp-10654,0.00183,0,0.125,"(0,0)",similar
diff. SGs,Te1,47759,154,mp-567313,85687,12,mp-570459,0.0408,0.494,1.96,"(0.0829,0.1)",different
diff. SGs,Te1,47759,154,mp-567313,4141,152,mp-19,7.27e-05,0.0145,0.181,"(0.00967,0.00967)",similar
diff. SGs,Te1,85687,12,mp-570459,4141,152,mp-19,0.0409,0.479,2.14,"(0.0916,0.109)",different
diff. SGs,O4 Pb1 W1,152138,1,mp-703260,2413,88,mp-25176,0.00362,0.0586,0.072,"(0.0646,0.0988)",similar
diff. SGs,H2 O4 P1 Rb1,87983,43,mp-23667,102869,122,mp-642831,0.00602,0.171,0.366,"(0.0612,0.116)",different
diff. SGs,Ca1,84719,139,mp-166,19451,229,mp-21,0.000253,0.0064,0.0448,"(0,0)",similar
diff. SGs,C1 Li2 Mn1 O7 P1,160597,2,mp-769717,87832,11,mp-25563,0.000416,0.194,0.193,"(0.142,0.297)",different
diff. SGs,Cu3 O8 Pb2 Sr2 Y1,39251,2,mp-554200,101895,17,mp-643629,0.00344,0.0714,0.639,"(0.0586,0.25)",similar
diff. SGs,Cu3 O8 Pb2 Sr2 Y1,39247,26,mp-578628,101895,17,mp-643629,0.0223,0.0612,1.03,"(0.0764,0.287)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,9180,62,mp-21410,0.0317,0.0219,1.19,"(0.0242,0.0322)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,174872,164,mp-849057,0.078,0,0.313,"(0.0331,0.0437)",different
diff. SGs,Fe1 S1,12802,186,mp-616476,7482,194,mp-2099,0.0577,0,1.23,"(0.0227,0.0388)",different
diff. SGs,Fe1 S1,9180,62,mp-21410,174872,164,mp-849057,0.0462,0.0219,0.874,"(0.0283,0.0365)",different
diff. SGs,Fe1 S1,9180,62,mp-21410,7482,194,mp-2099,0.0259,0.0219,2.42,"(0.0292,0.0361)",different
