snlgroup_id,snlgroup_key,mismatching snl_ids
54812,La2 Mn3 O9 Pb1--165,82853 83435 172420 342629 345340
54842,Ho1 Na3 Nb2 O12 Ti2--26,342858
54902,Mn6 Na5 Nd11 O48 Ti10--1,166890 348306
54929,Ba1 La1 Mn1 O6 Ru1--7,173228
54991,Fe12 La14 Mg4 O45 Sr2--1,158206
55014,Cr1 Li2 O12 P3 Ti1--14,159031 344767 350332
55047,La1 Ni1 O6 Ru1 Sr1--7,342668
55077,Ca1 La1 Mn1 O6 Ru1--7,342644
55084,Ca2 Ir1 Mn1 O6--14,178207 342642 345331
55120,La1 Mn1 O6 Sr1 Ti1--7,178249 178319 342634 345326
55295,Ca1 Nd2 O9 Ti2 Zn1--1,342967
55343,F34 Fe6 Na2 Sr6 Zn1--1,343049
55353,Ca1 Ho1 Mn2 O6--31,173117 178569 178609
55382,Co1 O6 Sr2 W1--14,342991
55412,Ba1 In1 La1 Mn1 O6--53,343045 347684
55422,Ca1 Mn1 O6 Sm1 Sn1--7,343068 348322
55489,Al6 Mg2 O30 Si9 Sr1--1,343082
55514,F8 La3 Mn8 O16 Sr5--1,343042 345945
55570,F4 La3 Mn8 O20 Sr5--1,343076 348330
55578,Ca1 La1 Mn1 O6 Sn1--7,343041 345917
55714,Ba1 Cr3 La3 O12 Ti1--13,343110 348458
55724,Ca1 Li1 O6 Pr1 Te1--7,170517
55725,Fe1 Li2 O12 P3 Ti1--14,343115 345933
55908,Ca1 Dy1 Mn1 O6 Sn1--7,343185 350441
56035,Mn1 Na1 O9 Pr2 Ti2--1,343216
56117,Ca1 O9 Pr2 Ti2 Zn1--1,344872
56124,Ce3 Na5 Nb2 O24 Ti6--6,345578
56186,K1 Mg5 Na1 O30 Si12--190,345557
56289,Ca1 La1 Mn1 O6 Ti1--7,178334 344336 350095
56312,Dy1 Na3 Nb2 O12 Ti2--26,345177
56358,Na2 O7 P2 Zn1--14,178449
56545,K3 Li1 Mg4 O30 Si12--37,345934
56627,Ca5 Mn3 O24 Ti5 Y3--1,346002 354250
56636,Fe5 La3 O30 Sr7 Ta5--1,346010
56643,Ca1 Na6 O18 Si6 Zr1--161,346006
56658,Ca5 Ho3 Mn3 O24 Ti5--1,346015 354231
56698,Ca5 La7 Mn7 O36 Ru5--1,346029
56725,Ca5 Gd3 Mn3 O24 Ti5--1,346033 354678
56789,As1 K1 Nb4 O13--1,346054
56795,Bi1 Co1 O6 Ru1 Sr1--7,346055 354095
56821,F6 La2 Mn8 O18 Sr5--1,346063 354204
56927,Ca1 Mn1 Nd1 O6 Ti1--7,172897 344253 350079
56938,Ca3 Cr1 La5 Mn7 O24--1,346106
56975,Al1 F1 Li1 O4 P1--2,173132
57000,Ba1 Nd1 Ni1 O6 Sb1--7,173288 344240
57041,Ca1 Mn2 Nd1 O6--1,348746
57050,Ca1 La1 Mn1 Mo1 O6--7,344228
57060,Ca6 Cr1 La2 Mn7 O24--2,345444
57095,Ca5 Dy3 Mn3 O24 Ti5--1,346151 354225
57133,Ba1 Co1 Mn1 O5 Y1--129,178219 344246
57210,Ba7 Ce6 La1 O22 Y2--1,346167
57228,Ca1 Mn2 Nd1 O6--6,352100
57272,Al6 Ba1 Mg2 O30 Si9--1,345675
57401,Al2 Ca6 Mg5 O36 Si11--1,348460
57588,Al1 Be2 Ca2 K1 O30 Si12--37,345652
57620,Al1 Ca5 Nb1 O25 Si5 Ti3--2,352190
57833,Al3 Ca10 O50 Si10 Ta3 Ti4--2,166787
57847,C8 H6 N8 O3 Pt2 Rb4--9,345632
57957,Al1 Ca5 O25 Si5 Ta1 Ti3--2,352222
57994,Ca5 Na1 O36 Sc1 Si12 Zn5--5,350155
58439,Co5 Li7 O12--1,88073 88089 88135 88179
58448,Co5 Li7 O12--2,88126 88157
58457,Co5 Li7 O12--12,88233 88312
58463,Co5 Li7 O12--8,88260 88263 88270 88314
58486,Co3 Li7 Mn2 O12--1,88407
58487,Co3 Li7 Mn2 O12--1,88391
58509,Co3 Li7 Mn2 O12--2,88475
58510,Co3 Li7 Mn2 O12--1,88453
58511,Co3 Li7 Mn2 O12--2,88444
58527,Co3 Li7 Mn2 O12--1,88497
58542,Co3 Li7 Mn2 O12--12,88551
58551,Co3 Li7 Mn2 O12--8,88588
58553,Co3 Li7 Mn2 O12--8,88581
58556,Co3 Li7 Mn2 O12--8,88578
58585,Co3 Li7 Mn2 O12--8,88632
58586,Co3 Li7 Mn2 O12--12,88630
58647,Li7 Mn5 O12--1,88709 88725 88771 88815
58656,Li7 Mn5 O12--2,88762 88793
58665,Li7 Mn5 O12--12,88869 88948
58671,Li7 Mn5 O12--8,88896 88899 88906 88950
59535,Co7 Li9 O16--2,89598 89636 89717
59544,Co7 Li9 O16--1,89641 89687 89707 89739 89784 89889 89918 89932
59764,Co5 Li9 Mn2 O16--2,90812
59817,Co5 Li9 Mn2 O16--1,90879
59823,Co5 Li9 Mn2 O16--2,90731
59906,Co5 Li9 Mn2 O16--1,90834
60085,Co5 Li9 Mn2 O16--1,91027
60846,Li9 Mn7 O16--2,91788 91826 91907
60855,Li9 Mn7 O16--1,91831 91877 91897 91929 91974 92079 92108 92122
62270,O6 Pb2 Ti0.96 Zr1.04--9,97631
63082,Ba1 Co1.6 Fe0.4 O9.32 Sr1--62,97223
63424,Co1 Fe1 La1.2 O6 Sr0.8--140,97593 97594
64549,Cu2 La3.7 O8 Sr0.3--64,101039 107150
64559,Ca0.2 Cu2 La3.8 O8--64,110058 110059 112826
64569,Cu2 La3.8 O8 Sr0.2--64,110037
64791,Mn4 O12 Pr2.4 Sr1.6--62,100713
64863,La3.5 Mn4 O12 Sr0.5--62,121918
65306,As3.68 Mn4 P0.32--62,112613
65727,Ba2 Ce0.8 O6 Zr1.2--167,100137
65928,O6 Pb2 Ti0.2 Zr1.8--161,107744
66112,Co2 La1 O6 Sr1--167,103721 110884
66558,Ba1.6 Ca0.4 O6 Zr2--140,101054 101055
68169,Ba0.88 Co4 Nd3.12 O12--62,102886 102887 104452 104453 104454 104455
69077,Ba0.4 La1 Mn2 O6 Sr0.6--140,104018
69588,La2 Mn10 O26 Sr8--84,104663
69817,Fe2 La0.666 O6 Sr1.334--167,104969
70996,Ca0.88 Mn4 O12 Pr1.92 Sr1.2--62,106384
71135,Cu2 La3.74 O8 Sr0.26--64,106548 111962
75220,Ho1 Mn2 O7 Sr2--136,111146
75221,Mn2 O7 Sr2 Y1--136,111147
75241,Fe1 O6 Sr2 Ta1--62,111169
78428,Ca8.04 La3.96 Mn12 O36--62,114876
79517,Ag0.068 In0.074 Sb1.528 Te0.33--166,116145
81948,La3 Li1 Mn1 O7--136,118888
83598,Fe0.4 Mn3.6 Nd2.8 O12 Pb1.2--62,120975
84759,Nd2 Rh1 Si3--194,408068 408851
84799,Fe3 O4--10,351843
84894,Mo1 N1--191,204724
84929,Li1 O3 V1--15,378503
85053,Cr1 O4 W1--69,332729
85059,Hg1 O2 Sr1--166,275689
85196,Pd1 Sn1 U1--194,329463
85362,K1 Mo4 O8--13,154707
85528,O3 W1--57,169371 337225 345055 352017 352315
85534,B1 Gd1 O3--194,168755
85552,Cl5 O4 Re2--1,333162
85590,Ge1 O3 Pb1--13,288267
85888,Al1 B4 Cr3--47,162019
86525,Ce3 Ge5 Pd14--62,166139 170460
86663,La1 Mn1 O3--14,175813
87004,Fe3 H6 K1 O14 S2--166,257824
87354,B1 Fe2 O4--7,174117 353568
87396,C1--67,176528
87484,Ca1 Fe1 La1 Mn1 O6--7,178722 343067 345957
88064,Li1 Mo3 O8--160,179912 181154 181156 337170
88097,Mo3 O8--166,179992 180959 180962 336630 349504
88200,Bi1 O2--72,180481
88256,H8 Mo1 N2 O4--12,181127
88654,Al2 H4 O9 Si2--1,181464
88736,Ga1 H4 Sr1--62,181678
88751,H1 K1 O8 P2 Zr1--13,181745
88802,I6 O24 Pb1 Zn1--2,350440
88894,K1 N1--129,336995
89028,B3 K3 O10--33,352430
89155,O6 Pb2 Ti0.2 Zr1.8--161,206100
90129,C2 Cu1 N4 S2--33,352183
90146,As2 Ca1 O8--2,346699
90446,Cl4 Hg1 K2 O1--55,346716
91134,H2 Yb1--62,200066
91374,B3 O9 Zn1--62,346804
91597,Cl4 Hg1 K2--55,346845
92171,Na1 O4 P1--64,350848
92448,O10 Sr1--130,346957
92615,Cl1 N1 Zr1--164,336599
93112,C2 Cr1 O2 P4--15,347033
93240,Al1 O3--14,350900
93263,H1 Li1 O2--12,336438
93512,H2--139,336357
93543,Li1 N1--121,336439
94204,O3 Pr1--176,337005
94623,Fe3 K1 O14 S2--166,347146 354322
95009,Cl2 O5 U1--62,347187
95453,C1 K1--12,222037
95535,Cl2 I1 N5 O1 Os1--107,345466
95923,P1 Pb1--14,347306
96316,Sr1--191,347325
96588,As3.68 Mn4 P0.32--62,203883
96877,Eu1 H2--62,242611
98371,As1--12,273478 273479
98787,Mn2 O6 Pr0.3 Sr1.7--140,280367
99117,Cu2 La3.7 O8 Sr0.3--64,230997 249318
100199,Cd1 S1--59,338190
100594,K1 O8 P2 Zr1--13,346426
101858,F3 Mn1 N1--62,338319
103129,O9 V5--2,353964 355097
104933,Ca0.2 Cu2 La3.8 O8--64,228596
105036,Cu2 La3.74 O8 Sr0.26--64,228821 290491
105655,Cu2 La3.8 O8 Sr0.2--64,231004
105976,Cu1 O5 S1--2,338453
107296,Mn4 O12 Pr2.4 Sr1.6--62,247137
107881,Fe2 Y1--217,351576
107980,Ho1 Mn2 O7 Sr2--136,236899
107981,Mn2 O7 Sr2 Y1--136,236900
108006,La3.5 Mn4 O12 Sr0.5--62,268511
108043,Fe1 O6 Sr2 Ta1--62,237030
108620,Ag1 O4 S1--14,353433
110102,F3 K1 Mn1--11,338630 338857
110412,Ba2 Ce0.8 O6 Zr1.2--167,242380
110829,Cl1 Cu1 H1 O1--14,338596
112197,Ag0.068 In0.074 Sb1.528 Te0.33--166,246462
113268,Ca1 O6 Ti2--14,347840
113561,Ba1.6 Ca0.4 O6 Zr2--140,249558 249559
114457,La3 Li1 Mn1 O7--136,251453
116202,Fe55.512 Nd6 Ti2.488--14,274959
117310,C8 Ce1 Cl4 N4 O6--119,344618
117947,Cu1--12,261621
118213,O6 Pb2 Ti0.96 Zr1.04--9,293330
118654,Ce1 O4 Zr1--137,275660 275661 275662 275663 275664
119074,Ba0.88 Co4 Nd3.12 O12--62,264216 264217 269572 269573 269574 269575
120782,Ba0.4 La1 Mn2 O6 Sr0.6--140,268286
120932,Ba0.6 Co2 La1.4 O6--167,275341 275342
121701,La2 Mn10 O26 Sr8--84,270346
122078,Fe2 La0.666 O6 Sr1.334--167,271260
122665,Ba2 Co3.2 Fe0.8 O9.32 Sr2--62,272920
123050,Cl1 Cu2 H3 O3--14,296342
123758,B11 Li1--119,275466
124925,Ba1.6 Ca0.4 La2 Mn4 O12--62,277312
125875,Ca1 O6 S1--14,278684
127942,Fe0.4 Mn3.6 Nd2.8 O12 Pb1.2--62,282478
129180,Ag1 As2 Sm1--62,309887
129223,Cr3 La2 Mo1 O12 Sr2--62,284901
129240,O9 V4--63,352042
130406,Ca1 Co2 La1 O6--167,286779
130549,Ce0.2 O6 Sr1.8 Ti2--140,287038 287039 287040
132778,Al1 Ce1 O3--15,292043 292044 292045
133153,Co1 Fe1 La1.2 O6 Sr0.8--140,293043 293044
