category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,O5 V2,16636,31,,6955,59,mp-25620,,,,,
diff. SGs,Fe1 Li2 O4 Si1,35829,4,,86425,14,mp-646320,,,,,
diff. SGs,Fe1 Li2 O4 Si1,173993,1,,156366,4,mp-764344,,,,,
same SGs,Cu1 Mn2 O4,124788,227,,17676,227,mp-505421,,,,,
diff. SGs,Cr1 Li1 O7 P2,174199,2,,161847,15,,,,,,
diff. SGs,Fe2 O3,171210,61,,174723,1,mp-777192,,,,,
diff. SGs,Fe2 O3,154269,1,,48612,206,mp-686969,,,,,
diff. SGs,Fe2 O3,154269,1,,154939,5,mp-715572,,,,,
diff. SGs,Fe2 O3,44632,60,mp-542309,154260,1,,,,,,
diff. SGs,Fe2 O3,154929,33,mp-715276,154260,1,,,,,,
diff. SGs,Fe2 O3,152967,1,mp-705773,39821,92,,,,,,
diff. SGs,Fe2 O3,152967,1,mp-705773,50364,19,,,,,,
diff. SGs,Fe2 O3,39821,92,,50364,19,,,,,,
diff. SGs,O5 P1 V1,155849,85,mp-763482,51486,1,,,,,,
diff. SGs,Fe2 Li3 O12 P3,174508,5,mp-773158,168265,15,,,,,,
diff. SGs,Al1 H1 O2,91182,62,mp-625152,150535,26,,,,,,
diff. SGs,Al1 H1 O2,124712,58,,88314,31,mp-23807,,,,,
diff. SGs,Co1 Li2 O4 Si1,174279,33,mp-764641,164605,7,,,,,,
diff. SGs,Si1,11086,74,,22802,141,mp-92,,,,,
diff. SGs,Cr2 Li3 O12 P3,161291,15,,174167,5,mp-761630,,,,,
diff. SGs,Ge1,28501,141,mp-78,133269,74,,,,,,
diff. SGs,Ge1,5923,148,mp-128,128878,206,,,,,,
diff. SGs,F2 O1 V1,174004,44,mp-764312,164442,71,,,,,,
diff. SGs,Ba1 O3 Ti1,122338,38,,61,123,mp-19990,,,,,
diff. SGs,Bi1 Fe1 O3,126053,8,,24132,221,mp-561388,,,,,
diff. SGs,Bi1 Fe1 O3,126053,8,,85525,63,mp-566101,,,,,
diff. SGs,Bi1 Fe1 O3,126053,8,,1593,160,mp-24942,,,,,
diff. SGs,Bi1 Fe1 O3,91615,8,,91486,191,,,,,,
diff. SGs,Ba1 Ca1 I4,174034,25,mp-753775,157322,123,,,,,,
diff. SGs,Ba1 Ca1 I4,165805,62,,174414,8,mp-766325,,,,,
diff. SGs,Co1 Fe2 O4,174403,74,mp-765860,124637,227,,,,,,
diff. SGs,Ni1 S2,174903,14,mp-850131,174887,4,,,,,,
diff. SGs,Ni1 S2,35474,1,,91913,198,,,,,,
diff. SGs,Ni1 S2,35474,1,,11293,205,mp-2282,,,,,
diff. SGs,Ni1 S2,91913,198,,11293,205,mp-2282,,,,,
diff. SGs,Ba1,151716,221,mp-639747,33466,123,,,,,,
diff. SGs,F4 Fe3 O2,174805,1,mp-780519,169973,2,,,,,,
diff. SGs,Ba1,22891,194,mp-56,100743,62,,,,,,
diff. SGs,Ba1,22891,194,mp-56,151936,63,,,,,,
diff. SGs,Ba1,100743,62,,151936,63,,,,,,
diff. SGs,F4 Fe3 O2,174621,6,mp-773751,160255,31,,,,,,
same SGs,Ni1 S2,126845,129,,174886,129,mp-849092,,,,,
same SGs,Ba1,33468,123,,33466,123,,,,,,
diff. SGs,F11 Li1 O1 V4,174821,1,,171780,2,,,,,,
diff. SGs,F11 Li1 O1 V4,174811,1,,171679,5,,,,,,
diff. SGs,Co2 Li3 O8 Si2,160966,1,mp-767320,174152,8,,,,,,
diff. SGs,Co2 Li3 O8 Si2,174362,1,mp-764452,163304,5,,,,,,
diff. SGs,Li8 O29 P8 V3,161636,5,,174197,150,,,,,,
diff. SGs,Cr4 F11 O1,174789,1,mp-780158,172706,5,,,,,,
diff. SGs,Ag2 S1,54398,7,,50086,64,mp-32791,,,,,
diff. SGs,Ag2 S1,54398,7,,86073,12,mp-32884,,,,,
diff. SGs,Ag2 S1,54398,7,,49986,8,,,,,,
diff. SGs,Ag2 S1,85364,11,mp-556225,50160,1,,,,,,
diff. SGs,Ag2 S1,52796,63,mp-36216,50160,1,,,,,,
diff. SGs,Ag2 S1,50160,1,,86073,12,mp-32884,,,,,
diff. SGs,Ag2 S1,50160,1,,49986,8,,,,,,
diff. SGs,Ag2 S1,50160,1,,87077,36,mp-32669,,,,,
diff. SGs,Ag2 S1,49986,8,,87077,36,mp-32669,,,,,
diff. SGs,Fe1 Mo1 O6 Sr2,154650,75,,54815,85,,,,,,
diff. SGs,Fe1 Mo1 O6 Sr2,34676,225,mp-19127,24207,139,,,,,,
diff. SGs,Fe1 Mo1 O6 Sr2,1008,87,mp-18857,24207,139,,,,,,
diff. SGs,Li1 Mn1 O9 P3,174815,1,mp-781498,173438,9,,,,,,
same SGs,H2,151473,139,mp-632291,93513,139,,,,,,
same SGs,H2,87801,194,mp-24504,87800,194,,,,,,
diff. SGs,F11 O1 V4,174625,1,mp-774387,169923,5,,,,,,
diff. SGs,Fe2 Li1 O8 P2,174427,8,mp-767222,174052,38,,,,,,
diff. SGs,Fe2 Li1 O8 P2,174427,8,mp-767222,157894,31,,,,,,
diff. SGs,K1 N1 O3,53032,1,mp-675625,53277,11,,,,,,
diff. SGs,Fe2 Li1 O8 P2,174052,38,,157894,31,,,,,,
diff. SGs,Ba1 I4 Sr1,156885,33,mp-752514,158366,52,,,,,,
diff. SGs,Cr2 Li1 O12 P3,85837,9,,85101,167,mp-31652,,,,,
diff. SGs,Cr2 Li1 O12 P3,85837,9,,49505,15,,,,,,
diff. SGs,Cr2 Li1 O12 P3,85021,33,mp-31688,48927,7,,,,,,
diff. SGs,Cr2 Li1 O12 P3,85101,167,mp-31652,49505,15,,,,,,
diff. SGs,Pu1,153421,1,,94214,15,,,,,,
diff. SGs,Li1 O12 P4 Sn1,174178,2,mp-757663,161884,15,,,,,,
diff. SGs,Pu1,20113,139,,19222,225,mp-114,,,,,
diff. SGs,Cu1 La2 O4,54663,138,,53249,56,,,,,,
diff. SGs,Li1 O12 P4 Sn1,162041,15,,174185,9,mp-757806,,,,,
diff. SGs,Cu1 La2 O4,51116,10,,51265,14,,,,,,
diff. SGs,Cu1 La2 O4,51116,10,,10887,64,mp-36480,,,,,
diff. SGs,N4 Si3,23245,173,,26380,176,,,,,,
